author,link,category,publication,tokens,words,types,links,uppercase,verbs,subjuntiveimperative,nouns,adjectives,adverbs,modalverbs,personalpronouns,pluralpersonalpronouns,pronouns,pausality,characters,sentencelength,wordlength,speelingerrors,emotiveness,diversity,fake_or_true
None,https://www.diariodobrasil.org/vasectomia-pode-causar-perda-de-memoria-e-demencia-precoce-diz-estudo/,sociedade_cotidiano,11/12/2017,331,280,174,1,7,47,0,87,16,10,10,0,0,18,3.92308,1436,21.5385,5.12857,0.00357143,0.19403,0.621429,0
"Sérgio Augusto, O Estado de S.Paulo","http://alias.estadao.com.br/noticias/geral,cada-vez-mais-disseminado-fake-news-transformou-o-farisaismo-em-religiao,70002238299",sociedade_cotidiano,24 de março de 2018,1053,912,534,0,1,128,6,251,81,45,8,1,0,58,4.14706,4719,26.8235,5.17434,0.0153509,0.332454,0.585526,1
None,https://www.diariodobrasil.org/pessoas-que-se-arrepiam-ao-ouvir-musicas-tem-um-cerebro-especial/,sociedade_cotidiano,11/12/2017,427,365,233,2,4,77,6,88,37,21,12,0,0,37,3.26316,1949,19.2105,5.33973,0.0,0.351515,0.638356,0
Por BBC,https://g1.globo.com/bemestar/noticia/psiconeuroimunologia-a-intrigante-tecnica-de-escrever-sobre-traumas-que-ajuda-a-curar-o-corpo.ghtml,sociedade_cotidiano,15/08/2017 09h25,1176,1056,493,None,1,195,9,241,66,82,29,1,0,109,2.4,5341,21.12,5.05777,0.00189394,0.33945,0.466856,1
None,https://www.diariodobrasil.org/mae-perde-bebe-e-loja-devolve-dinheiro-dos-moveis-vendemos-sonhos-nossos-moveis-nao-podem-te-dar-tristeza/,tv_celebridades,11/12/2017,354,294,174,0,1,67,0,73,11,20,8,5,1,42,2.14286,1334,10.5,4.53742,0.0,0.221429,0.591837,0
"Por José Claudio Pimentel, G1 Santos",https://g1.globo.com/sp/santos-regiao/noticia/escritor-se-defende-e-diz-que-nunca-torturou-familia-e-uma-armacao.ghtml,tv_celebridades,14/06/2017 05h23,1788,1503,591,0,3,321,10,363,39,87,43,18,2,153,2.85,6740,15.03,4.48436,0.00199601,0.184211,0.393214,1
None,https://www.diariodobrasil.org/apos-prisao-cantor-naldo-divulga-video-e-pede-perdao-para-a-esposa-estou-procurando-deus/,tv_celebridades,08/12/2017,280,226,154,0,0,46,0,64,6,13,7,3,0,16,2.34783,1089,9.82609,4.81858,0.0,0.172727,0.681416,0
Por G1,https://g1.globo.com/resumo-do-dia/noticia/terca-feira-14-de-novembro-de-2017.ghtml,tv_celebridades,14/11/2017 18h50,822,722,439,None,7,106,4,203,42,27,15,0,0,32,2.43902,3471,17.6098,4.80748,0.00415512,0.223301,0.608033,1
None,https://www.diariodobrasil.org/deputado-corre-em-torno-do-congresso-para-expulsar-satanas/,politica,08/12/2017,243,200,123,0,1,35,1,57,9,7,4,2,0,11,1.95455,947,9.09091,4.735,0.0,0.173913,0.615,0
Coluna do Estadão,http://politica.estadao.com.br/blogs/coluna-do-estadao/defesa-tenta-evitar-que-lula-vire-sergio-cabral/,politica,23 de março de 2018,753,663,395,0,17,106,6,210,14,27,13,0,0,32,2.0,3086,14.7333,4.6546,0.0120664,0.129747,0.595777,1
None,https://www.diariodobrasil.org/o-xeque-mate-de-moro-pena-de-lula-foi-baixa-para-ser-aumentada-na-2a-instancia/,politica,04/12/2017,191,156,104,0,3,34,0,41,11,6,6,0,0,10,1.2963,727,5.77778,4.66026,0.0,0.226667,0.666667,0
Por G1 RS e RBS TV,https://g1.globo.com/rs/rio-grande-do-sul/noticia/trf4-encerra-2017-mantendo-historico-de-aumentar-sentencas-de-sergio-moro.ghtml,politica,21/12/2017 08h01,1480,1316,457,0,25,186,1,363,65,51,40,0,0,38,2.34286,6020,18.8,4.57447,0.0,0.211293,0.347264,1
None,https://www.diariodobrasil.org/assista-o-processo-de-fabricacao-das-salsichas-voce-nunca-mais-vai-comer-esse-lixo/,sociedade_cotidiano,05/12/2017,292,252,166,3,0,41,2,82,13,10,6,0,0,18,2.66667,1214,16.8,4.81746,0.00793651,0.186992,0.65873,0
"The Economist, O Estado de S. Paulo","http://economia.estadao.com.br/noticias/geral,o-vale-do-silicio-tomou-gosto-por-comida,1655710",sociedade_cotidiano,23 de março de 2015,3753,3313,1264,0,34,489,35,943,244,189,61,3,0,211,2.85714,16432,21.513,4.95986,0.00573498,0.302374,0.381527,1
None,https://www.diariodobrasil.org/coreia-do-norte-ameaca-se-o-porta-avioes-dos-eua-se-aproximar-mais-um-pouco-vamos-destrui-lo/,sociedade_cotidiano,04/12/2017,245,222,155,0,11,31,4,68,18,9,3,0,0,11,2.3,1088,22.2,4.9009,0.0045045,0.272727,0.698198,0
Por BBC,https://g1.globo.com/mundo/noticia/tensao-com-a-coreia-do-norte-o-mundo-pode-estar-proximo-da-3a-guerra-mundial.ghtml,sociedade_cotidiano,23/04/2017 11h45,1026,909,435,0,4,104,5,243,78,40,12,0,1,41,3.25,4383,25.25,4.82178,0.00330033,0.340058,0.478548,1
None,https://www.diariodobrasil.org/advogado-escreve-receita-de-pamonha-em-peticao-para-provar-que-juiz-nao-le-os-autos/,tv_celebridades,04/12/2017,359,313,204,0,0,60,11,80,16,23,10,3,1,25,3.53846,1524,24.0769,4.86901,0.00319489,0.278571,0.651757,0
O Estadao de S.Paulo,"http://opiniao.estadao.com.br/noticias/geral,cartas,528953",tv_celebridades,25 de março de 2010,8279,7348,2805,0,157,1148,64,1936,452,474,157,19,15,602,2.07812,36369,16.4018,4.94951,0.022319,0.300259,0.381737,1
None,https://www.diariodobrasil.org/sinal-do-fim-dos-tempos-universidade-anuncia-transplantes-de-utero-para-homens/,sociedade_cotidiano,04/12/2017,322,260,170,1,6,49,3,77,15,13,8,0,0,26,2.69565,1419,11.3043,5.45769,0.0,0.222222,0.653846,0
Por BBC,https://g1.globo.com/economia/concursos-e-emprego/noticia/as-licoes-da-islandia-no-combate-a-diferenca-salarial-entre-homens-e-mulheres.ghtml,sociedade_cotidiano,21/03/2018 14h49,1862,1637,698,None,9,225,10,448,113,91,27,1,0,123,3.16901,8000,23.0563,4.88699,0.000610874,0.30312,0.42639,1
None,https://www.diariodobrasil.org/que-coisa-feia-video-mostra-deputados-aos-tapas-em-sessao-na-camara/,politica,05/12/2017,87,76,57,0,6,12,1,24,3,1,5,0,0,3,2.2,358,15.2,4.71053,0.0,0.111111,0.75,0
"Por Fernanda Vivas, TV Globo, Brasília",https://g1.globo.com/politica/noticia/conselho-de-etica-abre-processos-que-podem-levar-a-cassacao-de-jean-wyllys-ivan-valente-e-erika-kokay.ghtml,politica,27/03/2018 16h05,866,763,382,0,13,115,8,236,36,21,18,0,1,46,2.94286,3889,21.8,5.09699,0.00131062,0.162393,0.500655,1
None,https://www.diariodobrasil.org/medico-de-hospital-publico-chora-durante-entrevista-e-comove-o-pais-nao-temos-dinheiro-pra-nada/,politica,05/12/2017,28,23,23,0,4,3,0,8,1,1,0,0,0,2,1.66667,110,7.66667,4.78261,0.0,0.181818,1.0,0
Por G1 Rio Preto e Araçatuba,https://g1.globo.com/sp/sao-jose-do-rio-preto-aracatuba/noticia/hospital-de-base-transforma-rio-preto-em-referencia-medica-no-pais.ghtml,politica,19/03/2018 17h03,748,668,344,0,10,98,3,190,29,33,10,1,0,36,2.0,3073,16.7,4.6003,0.0,0.215278,0.51497,1
None,https://www.diariodobrasil.org/tiririca-entrega-o-mandato-e-diz-saio-daqui-totalmente-com-vergonha/,politica,06/12/2017,162,131,103,0,0,31,3,30,5,12,4,1,0,12,1.9375,635,8.1875,4.84733,0.0,0.278689,0.78626,0
"Por Yasmim Restum*, G1 Rio",https://g1.globo.com/rj/rio-de-janeiro/noticia/alema-cuida-e-faz-homenagem-em-tumulo-de-selaron-em-cemiterio-do-rio.ghtml,politica,05/03/2018 05h00,1610,1397,584,None,0,271,4,332,53,94,26,21,0,143,2.47674,6401,16.2442,4.58196,0.00286328,0.243781,0.418039,1
None,https://www.diariodobrasil.org/pentagono-diz-que-guerra-mundial-e-inevitavel-e-quase-garantida-sera-rapida-e-letal/,sociedade_cotidiano,07/12/2017,173,151,109,1,1,28,0,38,10,5,7,0,0,6,2.0,736,13.7273,4.87417,0.0,0.227273,0.721854,0
"Maria Fernanda Rodrigues e Ubiratan Brasil, O Estado de S.Paulo","http://cultura.estadao.com.br/noticias/literatura,mario-vargas-llosa-diz-que-brasil-esta-dando-exemplo-de-combate-a-corrupcao,10000049651",sociedade_cotidiano,07 de maio de 2016,1350,1187,564,0,0,189,14,316,80,73,21,4,0,96,2.32857,5753,16.9571,4.84667,0.00084246,0.30297,0.475147,1
None,https://www.diariodobrasil.org/ditador-pedofilo-e-genocida-doou-us-1-milhao-para-a-campanha-de-lula-segundo-palocci/,politica,08/12/2017,227,193,138,1,4,30,0,56,9,5,4,0,0,13,3.4,892,19.3,4.62176,0.0207254,0.162791,0.715026,0
"Ricardo Brandt, Fausto Macedo e Júlia Affonso",http://politica.estadao.com.br/blogs/fausto-macedo/carta-ao-pt-foi-escrita-a-mao-por-palocci-do-carcere/,politica,01 de outubro de 2017,1202,1059,510,0,6,162,6,308,37,40,18,5,0,68,3.25,4964,24.0682,4.68744,0.00377715,0.16383,0.481586,1
None,https://www.diariodobrasil.org/as-contradicoes-de-tiririca-deputado-disse-que-ganha-muito-porem-deixou-a-mae-internada-no-sus/,politica,07/12/2017,140,116,88,0,2,18,0,29,12,7,0,0,0,6,2.66667,539,12.8889,4.64655,0.0,0.404255,0.758621,0
"Por Fernanda Calgaro, G1, Brasília",https://g1.globo.com/politica/noticia/tiririca-se-diz-com-vergonha-da-politica-e-afirma-que-nao-deve-disputar-mais-eleicoes.ghtml,politica,06/12/2017 15h09,540,434,218,0,1,98,0,94,22,38,15,3,0,39,3.41935,2054,14.0,4.73272,0.0,0.3125,0.502304,1
None,https://www.diariodobrasil.org/a-encomenda-de-trump-para-kim-jong-un-uma-mega-bomba-de-14-000-kilos/,sociedade_cotidiano,03/12/2017,311,277,179,0,17,49,0,75,17,13,14,0,0,10,1.88889,1301,15.3889,4.69675,0.0108303,0.241935,0.646209,0
Por BBC,https://g1.globo.com/mundo/noticia/os-abrigos-para-o-fim-do-mundo-construidos-para-os-super-ricos.ghtml,sociedade_cotidiano,01/02/2017 13h48,1129,1001,528,0,4,151,8,294,60,47,21,1,0,59,2.66667,4993,20.8542,4.98801,0.00799201,0.240449,0.527473,1
None,https://www.diariodobrasil.org/nem-lula-nem-bolsonaro-3-videntes-dizem-quem-sera-o-proximo-presidente-do-brasil/,politica,03/12/2017,258,223,149,0,6,27,3,65,16,10,0,0,0,17,2.5,1098,15.9286,4.92377,0.00448431,0.282609,0.668161,0
José Nêumanne,http://politica.estadao.com.br/blogs/neumanne/filme-sem-mocinho/,politica,27 de setembro de 2017,1890,1689,824,0,20,253,6,493,71,77,31,0,0,102,2.42169,7948,20.3494,4.70574,0.00414446,0.198391,0.487863,1
None,https://www.diariodobrasil.org/ele-nao-queria-machucar-ninguem-diz-colega-de-corporacao-de-bombeiro-que-furtou-caminhao/,politica,03/12/2017,276,232,135,1,0,61,1,49,8,22,7,2,0,20,1.91304,1142,10.087,4.92241,0.0,0.272727,0.581897,0
"Por Mateus Rodrigues e Raquel Morais, G1 DF",https://g1.globo.com/df/distrito-federal/noticia/bombeiro-nao-se-lembra-de-ter-furtado-caminhao-no-df-profundo-sofrimento-mental-diz-advogado.ghtml,politica,04/12/2017 19h11,718,622,330,None,5,94,1,171,30,28,16,2,0,35,2.59459,2991,16.8108,4.80868,0.00160772,0.218868,0.530547,1
None,https://www.diariodobrasil.org/guerra-nuclear-pode-comecar-a-qualquer-momento-todo-o-territorio-dos-eua-esta-dentro-do-nosso-alvo/,sociedade_cotidiano,03/12/2017,277,238,149,2,7,39,8,59,19,11,4,1,0,16,4.875,1132,29.75,4.7563,0.0,0.306122,0.62605,0
Por BBC,https://g1.globo.com/mundo/noticia/testaremos-misseis-semanalmente-lancamento-fracassado-gera-guerra-verbal-entre-coreia-do-norte-e-eua.ghtml,sociedade_cotidiano,17/04/2017 17h26,1016,899,404,0,17,115,5,261,78,26,19,0,0,29,3.0,4362,23.0513,4.85206,0.00222469,0.276596,0.449388,1
None,https://www.diariodobrasil.org/william-waack-vem-ai-ole-ole-ola-ma-oi/,tv_celebridades,01/12/2017,206,165,116,0,2,35,0,40,5,14,6,2,0,14,2.41176,738,9.70588,4.47273,0.0121212,0.253333,0.70303,0
José Nêumanne,http://politica.estadao.com.br/blogs/neumanne/torquemada-aqui-e-agora/,tv_celebridades,13 de novembro de 2017,1517,1334,698,0,2,191,10,336,126,85,25,6,0,116,3.58824,6729,26.1569,5.04423,0.00524738,0.40038,0.523238,1
None,https://www.diariodobrasil.org/padre-pede-para-fieis-orarem-pelo-principe-george-vamos-rezar-para-que-ele-seja-gay/,religiao,01/12/2017,48,41,29,0,0,11,2,12,2,0,2,0,0,1,1.75,198,10.25,4.82927,0.0,0.0869565,0.707317,0
Por Diário TV 1ª Edição,https://g1.globo.com/sp/mogi-das-cruzes-suzano/noticia/golpista-se-passa-por-diacono-para-pedir-dinheiro-a-catolicos-de-suzano.ghtml,religiao,07/02/2018 14h22,518,469,252,0,1,99,4,115,16,26,12,3,1,39,1.53125,2138,14.6562,4.55864,0.0,0.196262,0.537313,1
None,https://www.diariodobrasil.org/cuidado-congresso-planeja-pec-para-anistiar-temer-e-todos-os-ex-presidentes/,politica,02/12/2017,212,180,123,1,7,29,1,54,9,8,4,0,0,14,2.0,915,11.25,5.08333,0.0,0.204819,0.683333,0
José Nêumanne,http://politica.estadao.com.br/blogs/neumanne/duro-de-roer/,politica,23 de junho de 2017,1738,1550,756,None,25,242,6,433,92,82,24,1,0,65,3.24138,7367,26.7241,4.7529,0.00387097,0.257778,0.487742,1
None,https://www.diariodobrasil.org/facebook-deveria-remunerar-os-usuarios-para-navegarem-em-seu-site-dizem-especialistas/,ciencia_tecnologia,02/12/2017,663,542,302,0,6,88,8,150,39,33,18,0,1,47,3.025,2653,13.55,4.89483,0.00369004,0.302521,0.557196,0
Por BBC,https://g1.globo.com/tecnologia/noticia/como-os-tentaculos-do-facebook-alcancam-mais-longe-do-que-voce-imagina.ghtml,ciencia_tecnologia,29/05/2017 14h58,1235,1074,516,0,1,170,7,286,70,63,20,0,8,105,3.57778,5453,23.8667,5.07728,0.00372439,0.291667,0.480447,1
None,https://www.diariodobrasil.org/adolescente-reclama-do-pai-no-facebook-e-ele-reage-dando-8-tiros-no-notebook-dela/,ciencia_tecnologia,02/12/2017,187,167,114,0,0,31,3,40,5,12,3,2,0,23,1.17647,775,9.82353,4.64072,0.0179641,0.239437,0.682635,0
"Por Tácita Muniz, G1 AC, Rio Branco",https://g1.globo.com/ac/acre/noticia/essa-dor-vai-ficar-para-o-resto-da-vida-desabafa-pai-de-uma-das-jovens-morta-durante-tiroteio-no-ac.ghtml,ciencia_tecnologia,06/02/2018 11h15,978,853,406,0,7,185,9,203,31,52,39,4,2,74,2.55102,3748,17.4082,4.3939,0.00117233,0.213918,0.475967,1
None,https://www.diariodobrasil.org/pele-nao-consegue-mais-andar-e-culpa-medicos/,sociedade_cotidiano,02/12/2017,162,136,95,1,1,32,1,32,3,13,2,0,0,12,2.0,615,10.4615,4.52206,0.0,0.25,0.698529,0
"Estêvão Azevedo, O Estado de S. Paulo","http://saude.estadao.com.br/noticias/geral,empresaria-da-licao-de-vida-apos-cancer-de-mama-e-de-ovario,10000091003",sociedade_cotidiano,28 de novembro de 2016,1436,1214,595,None,1,220,9,277,59,100,17,26,1,135,2.74074,5597,14.9877,4.61038,0.00741351,0.31992,0.490115,1
None,https://www.diariodobrasil.org/bolsonaro-manda-recado-duro-para-a-globo-a-farra-de-voces-com-dinheiro-publico-vai-acabar/,politica,02/12/2017,149,123,93,0,0,22,3,29,5,9,3,2,1,14,1.625,536,7.6875,4.35772,0.0,0.27451,0.756098,0
"Por Lucas Soares e Camilla Resende (*), Varginha e Poços de Caldas, MG",https://g1.globo.com/mg/sul-de-minas/noticia/empreendedores-aproveitam-a-pascoa-para-gerar-renda-e-oferecer-alternativas-diferentes-para-consumidores-em-mg.ghtml,politica,29/03/2018 09h09,981,862,410,None,3,169,3,213,33,70,24,10,0,65,2.76744,3941,20.0465,4.57193,0.0,0.269634,0.475638,1
None,https://www.diariodobrasil.org/americanos-investem-ate-r-5-milhoes-em-bunkers-de-sobrevivencia-temendo-guerra-nuclear/,tv_celebridades,02/12/2017,306,262,168,0,3,45,1,71,19,12,7,0,0,11,2.44444,1350,14.5556,5.15267,0.0152672,0.267241,0.641221,0
Por Deutsche Welle,https://g1.globo.com/mundo/noticia/temor-de-conflito-nuclear-impulsiona-venda-de-bunkers-nos-eua.ghtml,tv_celebridades,20/09/2017 16h01,1167,1026,536,0,10,133,6,302,81,43,19,0,0,57,2.56364,5108,18.6545,4.97856,0.0136452,0.285057,0.522417,1
None,https://www.diariodobrasil.org/urgente-bombeiro-rouba-caminhao-de-quartel-para-jogar-contra-o-congresso/,politica,03/12/2017,134,119,88,2,3,21,1,36,5,4,2,0,0,7,1.875,567,14.875,4.76471,0.0,0.157895,0.739496,0
"Por Marco Antônio Martins, G1 Rio",https://g1.globo.com/rj/rio-de-janeiro/carnaval/2018/noticia/chefe-de-inteligencia-da-pm-viajou-para-a-europa-durante-o-carnaval-com-crivella.ghtml,politica,15/02/2018 05h00,1446,1258,545,0,21,164,3,378,49,63,25,0,1,55,2.76471,6134,18.5,4.87599,0.000794913,0.206642,0.433227,1
None,https://www.diariodobrasil.org/ex-diretora-do-banco-mundial-uma-outra-raca-controla-o-mundo-sao-os-homo-capensis/,tv_celebridades,26/11/2017,308,273,176,0,1,38,2,75,24,12,3,0,0,17,2.05882,1304,16.0588,4.77656,0.0,0.318584,0.644689,0
Por BBC,https://g1.globo.com/mundo/noticia/a-realidade-e-pior-que-voce-imagina-a-jornalista-que-viveu-6-meses-disfarcada-na-coreia-do-norte.ghtml,tv_celebridades,23/08/2017 14h58,1757,1565,669,0,4,290,3,376,71,83,37,12,4,194,2.13333,7373,17.3889,4.71118,0.000638978,0.231231,0.427476,1
None,https://www.diariodobrasil.org/astrologa-mais-famosa-do-mundo-diz-que-lula-sera-presoa-queda-dele-e-irreversivel/,tv_celebridades,27/11/2017,123,110,83,0,0,23,2,28,3,6,6,0,0,7,2.6,550,22.0,5.0,0.0,0.176471,0.754545,0
,https://g1.globo.com/resumo-do-dia/noticia/quarta-feira-17-de-maio-de-2017.ghtml,tv_celebridades,17/05/2017,739,654,404,0,5,84,5,202,35,24,11,0,1,33,2.2973,3102,17.6757,4.74312,0.00458716,0.206294,0.617737,1
None,https://www.diariodobrasil.org/eneas-em-1997-fhc-vendeu-a-vale-do-rio-doce-para-george-soros-e-a-imprensa-podre-nao-mostrou/,politica,29/11/2017,263,223,150,0,7,34,1,60,19,14,2,2,0,19,1.73913,1103,9.69565,4.94619,0.0134529,0.351064,0.672646,0
Por BBC,https://g1.globo.com/ciencia-e-saude/noticia/como-a-busca-por-um-raio-da-morte-militar-levou-a-descoberta-do-radar.ghtml,politica,10/10/2017 15h17,1302,1150,611,0,4,204,10,300,70,65,29,0,0,84,2.08219,5719,15.7534,4.97304,0.00695652,0.267857,0.531304,1
None,https://www.diariodobrasil.org/garoto-de-5-anos-se-lembra-de-outra-encarnacaomorri-num-incendio-agora-deus-me-mandou-de-volta/,tv_celebridades,28/11/2017,381,331,190,1,4,73,1,84,9,17,12,6,0,27,2.5,1431,16.55,4.32326,0.0,0.165605,0.574018,0
"Por Gabriela Loureiro, BBC",https://g1.globo.com/mundo/noticia/agressoes-em-casa-discriminacao-e-risco-de-morte-os-dramas-das-refugiadas-trans-brasileiras.ghtml,tv_celebridades,23/11/2016 10h48,2899,2514,1003,0,26,436,5,690,112,148,36,30,2,222,3.40708,11938,22.2478,4.74861,0.00198886,0.230906,0.398966,1
None,https://www.diariodobrasil.org/turistas-chineses-filmam-a-alma-da-princesa-diana-dentro-de-igreja/,tv_celebridades,29/11/2017,497,410,241,1,2,81,3,99,25,22,13,5,3,44,2.41667,1910,11.3889,4.65854,0.00243902,0.261111,0.587805,0
Estado da Arte,http://cultura.estadao.com.br/blogs/estado-da-arte/a-arte-pode-causar-sofrimento/,tv_celebridades,20 de outubro de 2017,3016,2726,1062,0,10,435,24,721,167,171,66,7,6,203,2.95918,13481,27.8163,4.94534,0.00220103,0.292388,0.389582,1
None,https://www.diariodobrasil.org/blogueira-louca-ataca-novamente-e-chama-marcela-temer-de-piranha-de-luxo/,tv_celebridades,30/11/2017,152,132,99,2,0,20,0,42,7,6,2,0,0,8,1.81818,609,12.0,4.61364,0.0,0.209677,0.75,0
"Por Gil Sóter*, G1 PA, Belém",https://g1.globo.com/pa/para/noticia/maes-universitarias-enfrentam-rotina-de-dificuldades-para-estudar-na-maior-universidade-do-norte.ghtml,tv_celebridades,14/05/2017 07h00,1531,1313,603,0,11,218,9,371,73,76,25,10,1,85,2.94595,6306,17.7432,4.80274,0.00228484,0.252971,0.459254,1
None,https://www.diariodobrasil.org/jovem-de-29-anos-gasta-milhares-de-dolares-para-ficar-parecida-com-angelina-jolie/,tv_celebridades,29/11/2017,145,126,86,0,0,21,0,27,9,8,0,0,0,8,2.71429,570,18.0,4.52381,0.0,0.354167,0.68254,0
Por G1 Região Serrana,https://g1.globo.com/rj/regiao-serrana/noticia/relembre-boas-acoes-e-historias-curiosas-que-o-g1-mostrou-em-2017-na-regiao-serrana-do-rio.ghtml,tv_celebridades,31/12/2017 08h01,1156,1004,503,0,7,143,6,280,56,42,11,1,0,45,3.10204,4573,20.4898,4.55478,0.00298805,0.231678,0.500996,1
None,https://www.diariodobrasil.org/policial-do-parana-ensina-como-tratar-bandido-e-viraliza-nas-redes-nois-rachamo-os-olhos-dele-de-tiro/,tv_celebridades,24/11/2017,122,97,74,0,2,20,1,30,1,4,3,0,0,10,2.5,433,9.7,4.46392,0.0206186,0.1,0.762887,0
"Por Adriana Justi e Cícero Bittencourt, G1 PR e RPC, Curitiba",https://g1.globo.com/pr/campos-gerais-sul/noticia/ataque-a-caravana-de-lula-e-investigado-como-disparo-de-arma-de-fogo-com-dano-diz-delegado.ghtml,tv_celebridades,28/03/2018 11h34,1586,1379,561,0,10,218,8,392,50,52,38,0,0,52,3.0,6615,19.9855,4.79695,0.00145033,0.167213,0.406817,1
None,https://www.diariodobrasil.org/ex-governador-diz-que-foi-agredido-dentro-da-cela-e-cameras-mostram-que-ele-estava-sozinho/,politica,24/11/2017,277,233,146,0,4,49,0,62,10,10,10,0,0,11,1.375,1171,7.28125,5.02575,0.00429185,0.18018,0.626609,0
"Por Matheus Rodrigues, G1 Rio",https://g1.globo.com/rj/rio-de-janeiro/noticia/cameras-nao-mostram-outras-pessoas-na-cela-de-garotinho-diz-sindicato-de-agentes-penitenciarios.ghtml,politica,24/11/2017 16h34,854,754,354,0,3,141,1,208,20,44,23,0,0,49,1.78571,3572,13.4643,4.7374,0.00132626,0.183381,0.469496,1
None,https://www.diariodobrasil.org/pec-do-diploma-projeto-podera-barrar-candidatos-que-nao-tiverem-curso-superior23/,politica,25/11/2017,144,127,98,0,4,24,4,40,6,7,6,0,0,6,1.88889,653,14.1111,5.14173,0.0,0.203125,0.771654,0
Por G1,https://g1.globo.com/rs/rio-grande-do-sul/noticia/veja-os-principais-trechos-do-julgamento-do-recurso-de-lula-no-trf-4-em-porto-alegre.ghtml,politica,24/01/2018 09h49,2131,1829,785,0,7,252,9,489,121,103,39,4,7,144,2.7963,9158,16.9352,5.00711,0.00164024,0.302294,0.429196,1
None,https://www.diariodobrasil.org/em-2045-a-vida-como-conhecemos-ira-acabar-diz-chefe-de-engenharia-do-google/,ciencia_tecnologia,25/11/2017,675,571,303,0,5,110,5,126,47,40,20,0,2,51,2.0,2838,10.9808,4.97023,0.00350263,0.368644,0.530648,0
"Laura Greenhalgh, O Estado de S.Paulo","http://cultura.estadao.com.br/noticias/geral,a-face-humana-da-sociologia-imp-,712848",ciencia_tecnologia,30 de abril de 2011,3500,3018,1413,0,8,512,24,750,264,206,61,3,10,269,3.27891,15611,20.5306,5.17263,0.00298211,0.372425,0.468191,1
None,https://www.diariodobrasil.org/foto-da-nova-namorada-de-willian-bonner-vaza-na-internet/,tv_celebridades,25/11/2017,176,150,105,1,4,25,1,51,7,7,4,0,0,5,2.0,710,11.5385,4.73333,0.02,0.184211,0.7,0
Por G1,https://g1.globo.com/resumo-do-dia/noticia/sexta-feira-13-de-fevereiro-de-2017.ghtml,tv_celebridades,13/02/2017 19h32,756,677,408,0,6,103,3,201,38,14,12,0,0,25,1.75556,3197,15.0444,4.7223,0.0014771,0.171053,0.602659,1
None,https://www.diariodobrasil.org/dinamarca-inova-e-inaugura-supermercado-com-produtos-vencidos/,sociedade_cotidiano,26/11/2017,367,323,183,1,6,50,0,94,23,23,5,0,0,12,2.44444,1589,17.9444,4.9195,0.0,0.319444,0.566563,0
Por BBC,https://g1.globo.com/natureza/noticia/alimentos-feitos-de-insetos-fazem-sucesso-na-suica-com-apelo-a-sustentabilidade.ghtml,sociedade_cotidiano,06/02/2018 16h07,873,763,394,None,3,114,3,240,60,29,12,0,1,35,2.82051,3854,19.5641,5.05111,0.00131062,0.251412,0.516383,1
None,https://www.diariodobrasil.org/vidente-do-capitolio-diz-que-trump-provocara-o-armagedon-antes-de-2020/,sociedade_cotidiano,22/11/2017,455,382,229,0,6,56,3,101,23,22,5,0,0,28,2.21212,1769,11.5758,4.63089,0.0,0.286624,0.599476,0
"Christian Carvalho Cruz, de O Estado de S. Paulo,","http://alias.estadao.com.br/noticias/geral,rio-e-o-espetaculo-de-integracao-social-do-pais-diz-carlos-lessa,455846",sociedade_cotidiano,24 de outubro de 2009,3006,2613,1111,0,5,396,12,746,183,134,32,6,0,154,2.86861,12416,19.073,4.75163,0.00382702,0.277583,0.425182,1
None,https://www.diariodobrasil.org/atriz-que-interpretou-rainha-elizabeth-fala-sobre-a-familia-real-sao-alienigenas-algo-alem-da-nossa-compreensao/,tv_celebridades,21/11/2017,308,272,167,0,0,52,1,68,14,16,6,0,0,28,2.57143,1367,19.4286,5.02574,0.00367647,0.25,0.613971,0
Por G1 Ribeirão e Franca,https://g1.globo.com/sp/ribeirao-preto-franca/noticia/chantageado-por-ex-que-fingiu-gravidez-jovem-diz-que-teve-saude-abalada.ghtml,tv_celebridades,01/08/2017 14h20,1219,1073,460,0,1,234,9,247,39,53,34,22,1,103,2.47458,4932,18.1864,4.59646,0.000931966,0.191268,0.428705,1
None,https://www.diariodobrasil.org/vou-desfazer-tudo-o-que-foi-feito-pelo-pt-e-psdb-chega-de-direitos-humanos-cadeia-nao-e-hotel/,politica,22/11/2017,493,406,261,0,10,67,10,109,30,34,11,0,1,29,1.74,1901,8.12,4.68227,0.0,0.363636,0.642857,0
"Rui Nogueira e Lisandra Paraguassu, de O Estado de S. Paulo,","http://internacional.estadao.com.br/noticias/geral,nao-existe-pais-que-esteja-acima-do-bem-e-do-mal-diz-patriota,745877",politica,16 de julho de 2011,7174,6291,1803,0,37,1032,51,1524,437,497,148,35,21,531,2.39295,30903,17.0488,4.91226,0.000476872,0.365415,0.2866,1
None,https://www.diariodobrasil.org/america-do-sul-e-o-local-mais-seguro-para-se-esconder-em-caso-de-conflito-nuclear-mundial/,sociedade_cotidiano,23/11/2017,328,294,170,1,3,49,2,87,18,11,7,1,0,18,1.88889,1443,16.3333,4.90816,0.00680272,0.213235,0.578231,0
Por BBC,https://g1.globo.com/mundo/noticia/brasil-e-mais-24-os-paises-que-mantem-embaixadas-na-isolada-coreia-do-norte.ghtml,sociedade_cotidiano,19/12/2017 12h38,1423,1267,582,0,6,159,7,360,99,57,19,0,2,83,2.9434,6474,23.9057,5.10971,0.000789266,0.300578,0.459353,1
